,vmcreated,vmdeleted,lifetime,profile,node,core
72,2293800,2295600,0.5,6,1,2
73,2291400,2292900,0.4166666666666667,7,2,3
74,2293800,2302800,2.5,1,1,4
75,2291100,2291400,0.08333333333333333,4,3,4
76,2289300,2291100,0.5,3,3,5
77,2292900,2297700,1.3333333333333333,5,2,3
78,2293500,2295300,0.5,7,1,2
79,2288100,2291700,1.0,8,2,3
80,2292900,2294700,0.5,7,3,4
81,2274600,2292000,4.833333333333333,7,1,3
82,2292600,2294400,0.5,4,1,3
83,2293200,2294700,0.4166666666666667,3,2,5
84,2271900,2293500,6.0,3,3,4
85,2293200,2295600,0.6666666666666666,5,1,3
86,2293200,2293800,0.16666666666666666,7,3,3
87,2291100,2293500,0.6666666666666666,5,3,5
88,2291100,2292600,0.4166666666666667,8,1,2
89,2292300,2292600,0.08333333333333333,8,3,1
90,2291100,2292000,0.25,1,2,5
91,2292900,2293200,0.08333333333333333,8,1,4
92,2291700,2292600,0.25,3,3,5
93,2290500,2291100,0.16666666666666666,7,3,3
94,2293800,2337300,12.083333333333334,5,2,2
95,2292900,2293500,0.16666666666666666,2,2,1
96,2292000,2296200,1.1666666666666667,6,3,3
97,2294100,2295300,0.3333333333333333,8,3,1
98,2293800,2294700,0.25,5,1,5
99,2293200,2295000,0.5,3,2,2
100,2294100,2295900,0.5,7,2,4
101,2293800,2296800,0.8333333333333334,5,3,5
102,2269800,2291100,5.916666666666667,4,2,4
103,2292300,2292600,0.08333333333333333,8,3,2
104,2290500,2291100,0.16666666666666666,4,3,2
105,2291700,2344500,14.666666666666666,5,1,5
106,2293200,2294100,0.25,2,2,3
107,2291400,2292900,0.4166666666666667,5,1,1
108,2291100,2307300,4.5,8,2,4
109,2290800,2300400,2.6666666666666665,3,2,1
110,2293500,2295300,0.5,7,2,5
111,2289600,2292000,0.6666666666666666,4,2,3
112,2292300,2294100,0.5,5,1,4
113,2291100,2293500,0.6666666666666666,1,3,4
114,2294100,2294100,0.08333333333333333,3,1,1
115,2291700,2310300,5.166666666666667,2,1,3
116,2292900,2293500,0.16666666666666666,3,3,4
117,2289900,2291400,0.4166666666666667,8,3,5
118,2291100,2291100,0.08333333333333333,8,3,1
119,2290800,2291400,0.16666666666666666,4,2,2
120,2291700,2313000,5.916666666666667,8,2,5
121,2290500,2291100,0.16666666666666666,2,1,2
122,2291700,2439300,41.0,8,2,2
123,2290800,2319900,8.083333333333334,5,2,2
124,2290500,2291100,0.16666666666666666,8,3,5
125,2294100,2294700,0.16666666666666666,6,1,5
126,2291400,2292900,0.4166666666666667,3,3,5
127,2287200,2291100,1.0833333333333333,6,1,1
128,2293200,2438100,40.25,1,3,3
129,2292900,2302800,2.75,8,1,3
130,2293800,2295300,0.4166666666666667,8,1,1
131,2287200,2291100,1.0833333333333333,2,3,2
132,2292300,2293200,0.25,2,3,2
133,2291400,2295000,1.0,3,2,3
134,2291100,2291400,0.08333333333333333,4,3,5
135,2289600,2292900,0.9166666666666666,1,3,1
136,2293500,2295300,0.5,8,3,4
137,2290200,2292000,0.5,5,1,3
138,2292000,2437200,40.333333333333336,1,3,1
139,2292900,2293500,0.16666666666666666,7,3,2
140,2292000,2438100,40.583333333333336,5,2,4
141,2291700,2293200,0.4166666666666667,2,2,3
142,2292900,2296200,0.9166666666666666,3,2,1
143,2291400,2292000,0.16666666666666666,8,2,5
144,2292000,2351400,16.5,6,1,2
145,2290200,2291700,0.4166666666666667,7,3,2
146,2270400,2292300,6.083333333333333,8,3,1
147,2294100,2296200,0.5833333333333334,7,2,5
148,2294100,2294700,0.16666666666666666,4,1,4
149,2293800,2294100,0.08333333333333333,6,1,4
150,2289900,2292000,0.5833333333333334,6,2,5
151,2292000,2351100,16.416666666666668,7,3,2
152,2291700,2310000,5.083333333333333,3,1,5
153,2290200,2292900,0.75,2,1,4
154,2291700,2294100,0.6666666666666666,3,1,1
155,2292000,2292300,0.08333333333333333,7,2,3
156,2290500,2291100,0.16666666666666666,5,2,4
157,2293200,2437800,40.166666666666664,5,1,5
158,2291400,2306400,4.166666666666667,8,3,4
159,2291400,2292000,0.16666666666666666,7,1,5
160,2294100,2295900,0.5,4,3,3
161,2293500,2295000,0.4166666666666667,3,3,1
162,2293200,2295600,0.6666666666666666,5,3,5
163,2292900,2458800,46.083333333333336,5,1,3
164,2293500,2293800,0.08333333333333333,6,2,4
165,2292300,2292300,0.08333333333333333,8,3,3
166,2291400,2291400,0.08333333333333333,6,3,3
167,2290800,2335200,12.333333333333334,3,3,5
168,2293200,2295300,0.5833333333333334,4,2,2
169,2290500,2290800,0.08333333333333333,4,1,5
170,2290800,2294100,0.9166666666666666,6,2,2
171,2292600,2313000,5.666666666666667,2,3,4
172,2289300,2291100,0.5,8,2,4
173,2290800,2323200,9.0,7,2,4
174,2290800,2291700,0.25,1,1,1
175,2291700,2292000,0.08333333333333333,7,3,1
176,2283900,2292900,2.5,8,3,1
177,2292600,2293200,0.16666666666666666,5,2,2
178,2292600,2294100,0.4166666666666667,4,2,5
179,2288400,2292000,1.0,2,3,1
180,2291100,2291700,0.16666666666666666,3,1,3
181,2180700,2291400,30.75,1,2,4
182,2291700,2293500,0.5,1,1,4
183,2293800,2294400,0.16666666666666666,3,2,4
184,2292900,2293500,0.16666666666666666,1,2,1
185,2290500,2291100,0.16666666666666666,1,3,1
186,2028300,2294100,73.83333333333333,6,3,3
187,2283300,2291100,2.1666666666666665,2,1,2
188,2290800,2318400,7.666666666666667,8,1,3
189,2289000,2292600,1.0,6,2,1
190,2291700,2350800,16.416666666666668,8,2,2
191,2292300,2293200,0.25,6,2,3
192,2293200,2437200,40.0,2,2,3
193,2293500,2330700,10.333333333333334,6,3,2
194,2291700,2294100,0.6666666666666666,1,3,1
195,2293200,2311200,5.0,4,3,3
196,2293800,2295300,0.4166666666666667,7,2,1
197,2292300,2296200,1.0833333333333333,5,2,4
198,2294100,2309700,4.333333333333333,3,2,2
199,2292300,2294400,0.5833333333333334,5,2,1
200,2292900,2292900,0.08333333333333333,6,3,2
201,2293500,2312400,5.25,8,3,1
202,2293500,2298300,1.3333333333333333,1,2,1
203,2267100,2291400,6.75,7,1,5
204,2290500,2291100,0.16666666666666666,4,3,1
205,2292900,2313300,5.666666666666667,1,1,2
206,2282700,2291100,2.3333333333333335,5,1,4
207,2290500,2291400,0.25,4,2,3
208,2273700,2293800,5.583333333333333,5,3,4
209,2290500,2292000,0.4166666666666667,5,1,1
210,2290800,2291100,0.08333333333333333,3,1,1
211,2290800,2291100,0.08333333333333333,3,3,5
212,2287800,2291400,1.0,3,3,5
213,2291400,2293800,0.6666666666666666,7,1,3
214,2293200,2438100,40.25,7,3,5
215,2291100,2303100,3.3333333333333335,5,3,3
216,2293800,2295600,0.5,3,1,1
217,2290500,2291100,0.16666666666666666,2,3,1
218,2291400,2291400,0.08333333333333333,7,3,5
219,2293200,2302800,2.6666666666666665,1,1,3
220,2291700,2292000,0.08333333333333333,7,2,5
221,2293200,2293500,0.08333333333333333,1,1,5
222,2289300,2291100,0.5,7,2,4
223,2292300,2296500,1.1666666666666667,3,1,2
224,2289300,2291100,0.5,3,2,5
225,2291400,2398500,29.75,2,2,4
226,2292000,2293500,0.4166666666666667,6,2,1
227,2293200,2295900,0.75,4,3,5
228,2290800,2292300,0.4166666666666667,6,1,1
229,2291700,2350800,16.416666666666668,7,3,3
230,2294100,2294700,0.16666666666666666,4,3,5
231,2290200,2291700,0.4166666666666667,1,2,2
232,2288700,2290800,0.5833333333333334,6,1,5
233,2290800,2292600,0.5,1,1,3
234,2294100,2294100,0.08333333333333333,4,3,4
235,2291700,2304900,3.6666666666666665,8,1,1
236,2292300,2293800,0.4166666666666667,5,2,3
237,2291700,2350800,16.416666666666668,1,3,5
238,2292900,2294700,0.5,1,1,2
239,2291100,2291400,0.08333333333333333,4,2,2
240,2270100,2292600,6.25,1,3,2
241,2291700,2350800,16.416666666666668,3,2,4
242,2293500,2295000,0.4166666666666667,7,2,4
243,2292600,2294700,0.5833333333333334,7,3,2
244,2291100,2292300,0.3333333333333333,5,3,5
245,2294100,2294700,0.16666666666666666,3,3,2
246,2291100,2291400,0.08333333333333333,1,1,4
247,2292900,2293200,0.08333333333333333,4,3,3
248,2256000,2293500,10.416666666666666,2,1,3
249,2294100,2295900,0.5,4,2,2
250,2292000,2295300,0.9166666666666666,1,1,1
251,2292300,2293800,0.4166666666666667,7,1,3
252,2289600,2291100,0.4166666666666667,5,1,3
253,2293800,2294100,0.08333333333333333,1,1,4
254,2292600,2293500,0.25,5,2,3
255,2292900,2294400,0.4166666666666667,7,1,3
256,2289600,2291400,0.5,6,2,5
257,2291700,2292000,0.08333333333333333,8,1,1
258,2294100,2295300,0.3333333333333333,2,1,1
259,2290500,2291400,0.25,5,1,1
